id	tokens	annotations
406	['Für', 'die', 'Bauern', ',', 'die', 'Bäuerinnen', 'und', 'die', 'Landjugend', ',', 'gerade', 'für', 'sie', ',', 'bleibt', 'als', 'Ergebnis', 'der', 'agrarpolitischen', 'Zielansprache', 'Schmidt', '/', 'Genscher', ',', 'daß', 'die', 'Regierung', 'an', 'der', 'gleichrangigen', 'Einkommens-', 'und', 'Wohlstandsentwicklung', 'der', 'landwirtschaftlichen', 'Erwerbspersonen', 'achtlos', 'vorübergeht', '.']	['O', 'O', 'B-PROF', 'O', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROF', 'I-PROF', 'O', 'O', 'O']
617	['Den', 'Bauern', 'ist', 'da', 'nur', 'begrenzt', 'ein', 'Vorwurf', 'zu', 'machen', '.']	['O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
689	['Warum', 'kamen', 'Verkäufer', ',', 'Gutachter', 'und', 'Käufer', 'nicht', 'nur', 'alle', 'aus', 'Westdeutschland', ',', 'sondern', 'meist', 'auch', 'noch', 'aus', 'denselben', 'Firmenställen', '?']	['O', 'O', 'B-PROF', 'O', 'B-PROF', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
127	['Das', 'fängt', 'bei', 'der', 'Bundeskanzlerin', 'an', ',', 'die', 'das', 'momentan', 'vom', 'Homeoffice', 'aus', 'macht', ',', 'das', 'geht', 'über', 'den', 'Krankenpfleger', ',', 'die', 'Krankenpflegerin', 'im', 'Gesundheitswesen', 'weiter', ',', 'und', 'das', 'hört', 'bei', 'den', 'ganz', 'Kleinen', 'auf', ',', 'bei', 'den', 'Erstklässlern', ',', 'die', 'momentan', 'ihren', 'Unterrichtsstoff', 'mit', 'ihren', 'Eltern', 'zu', 'Hause', 'nachholen', '.', ' ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROF', 'O', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
376	['Anders', 'als', 'die', 'im', 'Handel', 'oder', 'im', 'Gewerbe', 'Berufstätigen', 'hat', 'die', 'Krankenpflegerin', 'es', 'nicht', 'mit', 'leblosen', 'Gegenständen', ',', 'sondern', 'mit', 'fühlenden', 'Menschen', 'zu', 'tun', ',', 'die', 'nicht', 'nur', 'körperlich', 'zu', 'betreuen', ',', 'sondern', 'auch', 'seelisch', 'zu', 'beeinflussen', ',', 'zu', 'erhalten', 'und', 'zu', 'unterstützen', 'sind', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
220	['Und', 'noch', 'ein', 'Beispiel', 'sind', 'die', 'Zahlungsverlangen', 'gegenüber', 'Lieferanten', 'für', 'die', 'Werbung', 'des', 'Verkäufers', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
72	['Heute', '\xa0', '–', 'Frau', 'Ministerin', ',', 'Sie', 'kommen', 'eben', 'aus', 'Münster', '\xa0', '–', 'ist', 'etwas', 'passiert', ',', 'was', 'ich', 'in', 'meinen', '20', '\xa0', 'Jahren', 'Berufserfahrung', 'als', 'Landwirtin', 'nie', 'für', 'möglich', 'gehalten', 'hätte', ':', '6', '\xa0', '000', 'bis', '8', '\xa0', '000', '\xa0', 'Bauern', 'sind', 'in', 'Münster', 'mobilisiert', 'worden', 'und', 'sind', 'auf', 'die', 'Straße', 'gegangen', ',', 'weil', 'sie', 'sich', 'abgehängt', 'fühlen', ',', 'weil', 'Politik', 'nur', 'von', 'oben', 'ohne', 'Absprache', 'gemacht', 'wird', 'und', 'weil', 'sie', 'Sorge', 'um', 'ihre', 'Existenz', 'haben', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
179	['Wir', 'haben', 'uns', 'im', 'Ernährungsausschuß', 'schon', 'oft', 'darüber', 'unterhalten', ',', 'daß', 'wir', 'genügend', 'Futtergetreide', 'zur', 'Verfügung', 'stellen', 'müssen', ',', 'wenn', 'wir', 'von', 'den', 'Bauern', ',', 'von', 'der', 'Veredelungswirtschaft', 'das', 'Brotgetreide', 'haben', 'wollen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
310	['Die', 'Ausbildung', 'der', 'Krankenschwestern', 'muß', 'selbstverständlich', 'dem', 'internationalen', 'Niveau', 'entsprechen', ',', 'und', 'sie', 'bedarf', 'einer', 'der', 'heutigen', 'medizinischen', 'Forschung', 'entsprechenden', 'Ausweitung', 'und', 'Vertiefung', '.']	['O', 'O', 'O', 'B-PROF', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
781	['Wenn', 'dem', 'so', 'ist', ',', 'besteht', 'dann', 'nicht', 'die', 'Aufgabenstellung', 'des', 'Bundes', 'eindeutig', 'darin', ',', 'als', 'Verkäufer', 'für', 'die', 'Entschädigung', 'als', 'Folge', 'der', 'Sanierung', 'dieser', 'Mängel', 'geradestehen', 'zu', 'müssen', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
